url,Name,Brand,Model,Colour,Memory,Price,Availability,Website
https://shop.vodafone.co.uk/shop/pay-as-you-go/vodafone-smart-e8-payg/sku95327,Vodafone Smart E8,Vodafone,,Slate Blue,,49.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/nokia-3310-payg/sku96914,Nokia 3310,Nokia,,Dark Blue,,39.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-j3-2017-payg/sku94864,Samsung Galaxy J3 (2017),Samsung,,Black,,165.00,Back Order,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/nokia-150-payg/sku94597,Nokia 150,Nokia,,Black,,15.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/vodafone-smart-n8-payg/sku95249,Vodafone Smart N8,Vodafone,,Graphite,,79.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/doro-6520-payg/sku92551,Doro 6520,Doro,,Black,,45.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-l1-payg/sku93576,Sony Xperia L1,Sony,,Black,,149.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-j3-2016-payg/sku90342,Samsung Galaxy J3 (2016),Samsung,,Black,16GB,109.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-xa-1-payg/sku96135,Sony Xperia XA 1,Sony,,Black,,225.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/vodafone-smart-first-7-PAYG/sku97788,Vodafone Smart first 7,Vodafone,,Volcano Black,,19.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-e5-payg/sku91442,Sony Xperia E5,Sony,,Black,,89.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/lg-k8/sku91707,LG K8,LG,,Indigo Blue,,65.00,Out Of Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/nokia-3-payg/sku97224,Nokia 3,Nokia,,White,,115.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/lg-k4-2017-payg/sku94494,LG K4 (2017),LG,,Black,,69.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/apple-iphone-se-32gb-payg/sku91397,Apple iPhone SE 32GB,Apple,,Rose Gold,32GB,289.00,Back Order,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/vodafone-smart-mini-7-payg/sku90581,Vodafone Smart mini 7,Vodafone,,Black,,29.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/doro-5030-payg/sku94220,Doro 5030,Doro,,White,,17.50,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/vodafone-smart-turbo-7-payg/sku90672,Vodafone Smart turbo 7,Vodafone,,Aluminium Silver,,49.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/huawei-p8-lite-2017-payg/sku93495,Huawei P8 lite 2017,Huawei,,Black,,199.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/mobiwire-kwanita-payg/sku94520,MobiWire Kwanita,MobiWire,,Black,,35.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/alcatel-1054-payg/sku91468,Alcatel 10.54,Alcatel,,Black,,10.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/huawei-p10-lite-payg/sku95210,Huawei P10 Lite,Huawei,P10 Lite,Black,32GB,299.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-j5-2017-payg/sku94851,Samsung Galaxy J5 (2017),Samsung,,Black,,225.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/alcatel-a5-led-payg/sku95578,Alcatel A5 LED,Alcatel,,Black,,135.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/motorola-moto-e4-plus-payg/sku95691,Motorola Moto E4 Plus,Motorola,,Grey,,129.00,Back Order,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/vodafone-smart-v8-payg/sku95301,Vodafone Smart V8,Vodafone,,Cool Metal,,165.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/alcatel-2051-payg/sku93589,Alcatel 20.51,Alcatel,,Silver,,25.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/mobiwire-ayasha-payg/sku94207,MobiWire Ayasha,MobiWire,,Black,,5.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-a3-2017-payg/sku94572,Samsung Galaxy A3,Samsung,,Black,,295.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/zte-blade-A512-payg/sku95591,ZTE Blade A512,ZTE,,Black,,79.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-a5-2017-payg/sku95565,Samsung Galaxy A5,Samsung,,Blue,,350.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/apple-iphone-6s-32gb-payg/sku93423,Apple iPhone 6s 32GB,Apple,,Rose Gold,32GB,479.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-xz1-payg/sku96183,Sony Xperia XZ1,Sony,,Blue,64GB,520.00,Back Order,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-xz1-compact-payg/sku96207,Sony Xperia XZ1 Compact,Sony,,Black,32GB,450.00,Back Order,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-x-compact-payg/sku90120,Sony Xperia X Compact,Sony,,Black,,400.00,Back Order,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-xz-premium-payg/sku96159,Sony Xperia XZ Premium,Sony,XZ Premium,Black,64GB,599.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/sony-xperia-xz-payg/sku89403,Sony Xperia XZ,Sony,,Blue,32GB,500.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-s7-32gb-payg/sku90279,Samsung Galaxy S7 32GB,Samsung,Galaxy S7,Black,32GB,500.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/apple-iphone-7-32gb-payg/sku88417,Apple iPhone 7 32GB,Apple,,Black,32GB,569.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-s7-edge-32gb-payg/sku90777,Samsung Galaxy S7 edge 32GB,Samsung,Galaxy S7 edge,Gold,32GB,585.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/apple-iphone-7-plus-32gb-payg/sku91250,Apple iPhone 7 Plus 32GB,Apple,iPhone 7 Plus,Black,32GB,689.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/huawei-p10-payg/sku95134,Huawei P10,Huawei,P10,Black,64GB,549.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/huawei-p10-plus-payg/sku95108,Huawei P10 Plus,Huawei,P10 Plus,Black,128GB,649.00,In Stock,Vodafone
